Tipo;Tutorial;;;;;;;;;
Nombre;Bloque Girar;;;;;;;;;
Nivel;1;;;;;;;;;
TamCuadricula;3;;;;;;;;;
PosRobot;0;0;;;;;;;;
DireccionRobot;derecha;;;;;;arriba;abajo;izquierda;derecha
NumObjetivos;2;;;;;;;;;
texto;me;2;0;;;;;;;
texto;ta;2;2;;;;;;;
SoluciónOrdenada;1;;;;;;;;;
NumeroDeSoluciones;2;;;;;;;;;
me;;;;;;;;;;
ta;;;;;;;;;;
BloquesUsables;2;;;;;;;;;
avanzar;;;;;;;;;;
girar;;;;;;;;;;
ColoresSeguros;2;;;;;;;;;
Azul;;;;;;;;;;
Verde;;;;;;;;;;
ColoresCasillas;0;;;;;;;;;
Verde;Azul;Azul;;;;;;;;
Rojo;Rojo;Azul;;;;;;;;
Rojo;Rojo;Azul;;;;;;;;
Descripcion;;;;;;;;;;
El robot cambia de dirección sin moverse. Puedes GIRAR a la derecha o a la izquierda. GIRA para buscar camino seguro. Primero GIRA. luego AVANZA. Así evitas casillas peligrosas.;;;;;;;;;;
Descripcion_corta;;;;;;;;;;
Usa GIRAR para evitar las casillas ROJAS y llegar a la meta;;;;;;;;;;
Página_glosario;Girar;;;;;;;;;
