Tipo;Conciencia Léxica;;;;;;;;;
Nombre;¿cuántas palabras hay?;;;;;;;;;
Nivel;0;;;;;;;;;
TamCuadricula;7;;;;;;;;;
PosRobot;3;3;;;;;;;;
DireccionRobot;izquierda;;;;;;arriba;abajo;izquierda;derecha
NumObjetivos;3;;;;;;;;;
texto;9;0;0;;;;;;;
texto;8;6;0;;;;;;;
texto;10;0;6;;;;;;;
SoluciónOrdenada;0;;;;;;;;;
NumeroDeSoluciones;1;;;;;;;;;
9;;;;;;;;;;
BloquesUsables;7;;;;;;;;;
avanzar;;;;;;;;;;
girar;;;;;;;;;;
mientras;;;;;;;;;;
si;;;;;;;;;;
si_no;;;;;;;;;;
objetivo_alcanzado;;;;;;;;;;
siguiente_color;;;;;;;;;;
ColoresSeguros;4;;;;;;;;;
Azul;;;;;;;;;;
Verde;;;;;;;;;;
Blanco;;;;;;;;;;
Negro;;;;;;;;;;
ColoresCasillas;;;;;;;;;;
Verde;Rojo;Rojo;Azul;Azul;Azul;Azul;;;;
Verde;Rojo;Rojo;Azul;Rojo;Rojo;Rojo;;;;
Verde;Rojo;Rojo;Azul;Rojo;Rojo;Rojo;;;;
Verde;Verde;Verde;Negro;Rojo;Rojo;Rojo;;;;
Rojo;Rojo;Rojo;Blanco;Rojo;Rojo;Rojo;;;;
Rojo;Rojo;Rojo;Blanco;Rojo;Rojo;Rojo;;;;
Blanco;Blanco;Blanco;Blanco;Rojo;Rojo;Rojo;;;;
Descripcion;;;;;;;;;;
¿Cuántas palabras distintas hay en la oración: “Mis amigos vienen hoy a casa por la tarde”?;;;;;;;;;;
Descripcion_corta;;;;;;;;;;
Haz que el robot llegue hasta la respuesta correcta;;;;;;;;;;
Página_glosario;NULL;;;;;;;;;
