Tipo;TIPO;;;;;;;
Nivel;15;;;;;;;
TamCuadricula;8;;;;;;;
PosRobot;0;0;;;;;;
NumObjetivos;3;;;;;;;
texto;Meta1;1;1;;;;;
texto;Meta2;7;7;;;;;
texto;Meta3;3;3;;;;;
SoluciónOrdenada;0;;;;;;;
NumeroDeSoluciones;3;;;;;;;
Meta1;;;;;;;;
Meta2;;;;;;;;
Meta3;;;;;;;;
BloquesUsables;7;;;;;;;
avanzar;;;;;;;;
girar;;;;;;;;
mientras;;;;;;;;
si;;;;;;;;
si_no;;;;;;;;
objetivo_alcanzado;;;;;;;;
siguiente_color;;;;;;;;
ColoresSeguros;4;;;;;;;
Azul;;;;;;;;
Verde;;;;;;;;
Blanco;;;;;;;;
Negro;;;;;;;;
ColoresCasillas;;;;;;;;
Blanco;Negro;Blanco;Negro;Blanco;Negro;Blanco;Negro;
Negro;Blanco;Negro;Blanco;Negro;Blanco;Negro;Blanco;
Blanco;Negro;Blanco;Negro;Blanco;Negro;Blanco;Negro;
Negro;Blanco;Negro;Blanco;Negro;Blanco;Negro;Blanco;
Blanco;Negro;Blanco;Negro;Blanco;Negro;Blanco;Negro;Negro
Negro;Blanco;Negro;Blanco;Negro;Blanco;Negro;Blanco;
Blanco;Negro;Blanco;Negro;Blanco;Negro;Blanco;Negro;
Negro;Blanco;Negro;Blanco;Negro;Blanco;Negro;Blanco;
Descripcion;;;;;;;;
Descripcion larga del ejercicio;;;;;;;;
Descripcion_corta;;;;;;;;
Descripcion corta del ejercicio;;;;;;;;
Página_glosario;NULL;;;;;;;
